1,17,35.3,JANELLE KRAUS,,WAKE,19980926
2,18,04.3,EMILY SELVIDIO,,WAKE,19980926
3,18,06.1,ANNIE DEVLIN,,DARTMOUTH,19980926
4,18,07.1,LARA NIELL,,DARTMOUTH,19980926
5,18,08.8,STACIE BOUCHARD,,PENN ST,19980926
6,18,17.1,JILL SNYDER,,WAKE,19980926
7,18,22.4,KELLY BRADY,,WAKE,19980926
8,18,25.5,ERIN DROMGOOLE,,DARTMOUTH,19980926
9,18,28.8,KELLY KEENE,,DARTMOUTH,19980926
10,18,30.0,GRETCHEN DOBERT,,ARMY,19980926
11,18,31.4,CORRIE BUSSAR,,OKLAHOMA,19980926
12,18,32.8,CHRISTINE KANE,,STJO,19980926
13,18,33.8,SARA KINNEY,,AIRFORCE,19980926
14,18,34.7,AMY WALLACE,,WAKE,19980926
15,18,35.8,COURTNEY EBERSOLE,,PRINCETON,19980926
16,18,36.9,MINDY MIZELL,,OKLA,19980926
17,18,38.7,KATHRYN MOYNIHAN,,HARVARD,19980926
18,18,39.3,DAGNY DINGMAN,,DARTMOUTH,19980926
19,18,40.8,MARGARET SCHOTTE,,Harvard,19980926
20,18,41.9,BECKY POLLOCK,,WAKE,19980926
21,18,43.4,ALLISON GLITZ,,PENN ST,19980926
22,18,44.7,ANDREA DELOZIER,,OKLA,19980926
23,18,45.7,JENNIFER KEHOE,,KENTUCKY,19980926
24,18,46.9,HEATHER ONUMA,,PRINCETON,19980926
25,18,48.4,BARB JONES,,DARTMOUTH,19980926
26,18,49.4,BETHANY CRENSHAW,,DARTMOUTH,19980926
27,18,50.8,RACHEL SMITH,,AIRF,19980926
28,18,52.1,SHELLEY BRAND,,PSTA,19980926
29,18,53.2,JEN RAFFERTY,,STJO,19980926
30,18,54.6,KERSTI MILLER,,DARTMOUTH,19980926
31,18,55.8,LOU HOHNKA,,PSTA,19980926
32,18,56.1,MARY BETH ACKER,,PSTA,19980926
33,18,56.4,SALLY HIRSCH,,MASS,19980926
34,18,56.9,JULIE MURRAY,,ARMY,19980926
35,18,58.0,JAIME FLOOD,,AIRF,19980926
36,18,59.3,SUSAN ASHLOCK,,DARTMOUTH,19980926
37,19,00.2,ANITA ALLEN,,ARMY,19980926
38,19,00.5,KAREN ONEIL,,PRINCETON,19980926
39,19,02.4,BETSY PACKARD,,PRINCETON,19980926
40,19,03.7,CARA MADZY,,PSTA,19980926
41,19,10.0,SENTA BURTON,,Harvard,19980926
42,19,10.7,SHARON TILLOTSON,,MASS,19980926
43,19,11.8,STEPANIE WEBB,,OKLA,19980926
44,19,12.1,ALISON ANIBALDI,,WAKE,19980926
45,19,12.9,RYAN FAGAN,,DARTMOUTH,19980926
46,19,13.2,TRACY MEAGHER,,MASS,19980926
47,19,13.7,KRISTA GAHAGAN,,PSTA,19980926
48,19,16.0,NICOLE WAY,,MASS,19980926
49,19,16.7,ERIN DAVIS,,PSTA,19980926
50,19,18.5,LIZ REESER,,STJO,19980926
51,19,18.8,JESSICA JONES,,ARMY,19980926
52,19,19.9,ALISON GUINEY,,WAKE,19980926
53,19,20.1,BETH BUCHHEIT,,PSTA,19980926
54,19,20.4,CARON MARRA,,DELA,19980926
55,19,22.2,VICTORIA ROBINSON,,FORD,19980926
56,19,22.8,LEANN HYMAS,,Harvard,19980926
57,19,23.9,COURTNEY WEBBER,,PSTA,19980926
58,19,24.8,KATHLEEN KUHNERT,,WAKE,19980926
59,19,25.1,EMILY POTTER,,ARMY,19980926
60,19,25.2,TANYA SOTILLO,,LIU,19980926
61,19,25.4,JEN CANNISTRA,,PRINCETON,19980926
62,19,28.3,MELISSA HENDERSON,,MASS,19980926
63,19,28.6,MONICA ELMORE,,MASS,19980926
64,19,29.6,MELISSA WU,,PRINCETON,19980926
65,19,30.4,SARA BRINKLEY,,KANS,19980926
66,19,30.8,MEGHAN BUSSE,,STJO,19980926
67,19,31.3,SINEAD HOLT,,OKLA,19980926
68,19,33.6,STEPHIE DOYLE,,PRINCETON,19980926
69,19,33.8,KATEY FAVRET,,FORD,19980926
70,19,34.2,KRISTIN CISOWSKI,,MASS,19980926
71,19,35.5,KRISTEN ROBBINS,,DELA,19980926
72,19,41.2,BONNIE-JEANNE REGAN,,DARTMOUTH,19980926
73,19,42.5,DALIA WENCKUS,,AIRF,19980926
74,19,44.1,JENNA JAMES,,STJO,19980926
75,19,45.1,LARA COPPINGER,,AIRF,19980926
76,19,46.5,DIANE HEFFERNAN,,KANS,19980926
77,19,47.7,MARY UNSWORTH,,Harvard,19980926
78,19,49.2,MARGIE VAN ORDEN,,DARTMOUTH,19980926
79,19,50.2,TRACY SIPKA,,FORD,19980926
80,19,51.9,DONNA FIDLER,,PSTA,19980926
81,19,52.8,EMILY CORBETT,,OKLA,19980926
82,19,55.6,ADRIENNE SHIELDS,,MASS,19980926
83,19,57.0,HEATHER JOHNSON,,AIRF,19980926
84,19,58.0,CATHERINE CASEY,,PRINCETON,19980926
85,19,59.7,LIZ SNYDER,,ARMY,19980926
86,20,01.9,AIMEE ALEXANDER,,DELA,19980926
87,20,03.0,KRISTI ROSSO,,PRINCETON,19980926
88,20,03.4,LIZZIE SHEPTYCK,,MASS,19980926
89,20,04.3,RENEE WELCH,,ARMY,19980926
90,20,05.9,GLORY SMITH,,AIRF,19980926
91,20,07.4,KIMBERLY MEGDANIS,,Harvard,19980926
92,20,09.4,KATHERINE BLAIS,,MASS,19980926
93,20,09.7,NATALIE DEFFENBAUGH,,PRINCETON,19980926
94,20,10.8,MARCY HERNER,,AIRF,19980926
95,20,11.1,MEGAN KENNEDY,,PRINCETON,19980926
96,20,11.6,ISA MERRITT,,STONY,19980926
97,20,12.8,CATHY MAJAUSKAS,,AIRF,19980926
98,20,14.0,ERIN LEONARD,,Harvard,19980926
99,20,15.6,JANETTE PIKE,,KENT,19980926
100,20,16.8,JEANNE HUH,,ARMY,19980926
